Nom,Image,Prix
Roch Cuisinière à Gaz 4 Feux – RGCN-50- SB– 50x50 cm – 100% Inox,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/343911/1.jpg?7403,79 900 FCFA
Deska Machine à laver - 9 kg,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/157121/1.jpg?6196,200 800 FCFA
Nexon NEXON Bouilloire Electrique 2 Litres – 1500W - NEK- 180 - Silver,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/566121/1.jpg?6542,3 600 FCFA
Roch Congélateur Horizontal Rcf-210-G 210 L – Gris,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/959911/1.jpg?6377,129 900 FCFA
"Aiwa Téléviseur LED - Ecran 32"" - HDMI x 2 USB x 2 - Noir - Garantie 6 Mois",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/68912/1.jpg?0837,54 900 FCFA
Deska Smart TV 55 Pouces - Full HD - Noir - 55CF83-E - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/285411/1.jpg?6527,198 500 FCFA
"Aiwa Téléviseur LED - Smart /Android 9.0TV - Ecran 32"" - Noir - Garantie 6 Mois",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/74475/1.jpg?6296,74 900 FCFA
WOW TV Televiseur LED 43 Pouces - Smart Android 11 - Full HD - Noir - Garantie 6 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/504811/1.jpg?5004,99 900 FCFA
WOW TV Téléviseur LED 32 Pouces - Smart Android 9.0 - HD - Noir - Garantie 6 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/504811/1.jpg?5004,67 900 FCFA
Astech Téléviseur Smart TV LED 55 Pouces - Full HD - Garantie 12 Mois - Noir,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/53184/1.jpg?7230,268 000 FCFA
WOW TV Téléviseur LED 65 Pouces - Smart Android 11 - 4K Ultra HD - Noir - Garantie 6 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/504811/1.jpg?6720,269 900 FCFA
Astech TV LED - 43 Pouces - Full HD - 43OD15 - Noir - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/141501/1.jpg?7771,105 100 FCFA
Astech Smart TV LED 55 Pouces Android 55AC111D - 4K Ultra HD - Noir - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/502501/1.jpg?9448,231 450 FCFA
"Hisense - Téléviseur -  LED 32"" - Smart TV Vidaa - Noir",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/856/1.jpg?6961,110 000 FCFA - 129 900 FCFA
Hisense TV LED 43'' VIDAA SMART OS - Noir,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/595/1.jpg?9399,185 000 FCFA
Astech TV LED 32 Pouces - HD - Noir,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/0111/1.jpg?0934,74 900 FCFA
SMART TECHNOLOGY Congélateur Horizontal 72 Litres Brut - Gris - STCC-102 - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/06888/1.jpg?2528,89 900 FCFA
SMART TECHNOLOGY Réfrigérateur Bar 1 Porte 90 Litres - STR-90H - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/97289/1.jpg?3462,62 900 FCFA
SMART TECHNOLOGY Congélateur Horizontal 327 Litres - Gris -STCC-385- Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/57579/1.jpg?4307,250 950 FCFA
Roch Congélateur Vertical 8 Tiroirs - 200 Litres – RUF-295-J – Gris - Classe A+,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/302021/1.jpg?3199,245 900 FCFA
SMART TECHNOLOGY Congélateur Horizontal 200 Litres brut - 131 L net - Gris - STCC-200 - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/06888/1.jpg?2528,115 600 FCFA
SMART TECHNOLOGY Réfrigérateur 2 Portes 225 Litres - Argenté- STR-344H - Garantie 12 Mois - Classe A+,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/06888/1.jpg?3462,143 990 FCFA
Nexon Refrigerateur Bar 1 Porte 115 Litres - NFR-115-I - Gris,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/944121/1.jpg?2387,59 900 FCFA
Roch Réfrigérateur Bar 76 Litres - 2 Portes - RBF-110DT-K - Gris,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/274811/1.jpg?1355,67 800 FCFA
Haier SPLIT MURAL - HAIER - R410 - 9000BTU - 1CV - GARANTIE 12 MOIS,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/70388/1.jpg?9820,179 900 FCFA
Midea Climatiseur Split 1.25 CV - 9000 BTU - Blanc - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/7601/1.jpg?7314,215 000 FCFA
Sharp SPLIT - SHARP - 12000 BTU - 1.5 CV - GARANTIE 12 MOIS,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/34585/1.jpg?7590,205 000 FCFA
Sharp Climatiseur Split - Sharp - 1.25CV - 9000 BTU - Blanc - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/6601/1.jpg?0225,185 000 FCFA
Beko SPLIT - BEKO - 1.5 CV - 12000BTU - GAZ R410 - GARANTIE 12 MOIS,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/08903/1.jpg?3753,220 000 FCFA
Samsung - Split Mural - 2 CV –  AR18 - 180000BTU - GARANTIE 12 MOIS,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/97795/1.jpg?7679,360 000 FCFA
Binatone Refroidisseur D'Air BAC-201 - 20L Tactile-120 Watts+Télécommande,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/959911/1.jpg?2631,61 900 FCFA
Deska Fontaine à Eau 3 Robinets - Avec Réfrigérateur - WD-16WH-E - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/382221/1.jpg?3253,64 500 FCFA
Roch Fontaine Roch – Rwd-18 D – 3 Robinets – Avec Verrouillage Enfant,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/844221/1.jpg?0030,62 700 FCFA
Astech Fontaine à Eau 3 Robinets - Avec Réfrigérateur - FNT278FT - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/863811/1.jpg?0551,70 150 FCFA
Bruhm Fontaine à Eau 2 Robinets - Bds-1169 - Noir,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/743911/1.jpg?9977,75 350 FCFA
Astech Fontaine à eau ASTECH,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/524121/1.jpg?8789,94 999 FCFA
Deska Fontaine à eau DESKA,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/130001/1.jpg?0472,90 240 FCFA
RAF Fontaine à eau RAF,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/986221/1.jpg?2755,99 999 FCFA
"SMART TECHNOLOGY SMART TV 32"" - HDMI - FHD - 3D -Wifi - Régulateur + Décodeur Intégré - Noir - Garantie 12 Mois",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/410911/1.jpg?5126,59 900 FCFA
SMART TECHNOLOGY Blender - STPE-1020W - 2 En 1 - 1.5 Litre - 400 W - Blanc - Garantie 3 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/327911/1.jpg?4364,7 900 FCFA
Deska TV LED 32 Pouces - 32JK12 – Noir - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/263811/1.jpg?2629,52 350 FCFA
Roch TV LED Ultra Sim ROCH 32 Pouces - FULL HD - Rh-Le32a-C - Noir,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/033221/1.jpg?5696,48 900 FCFA
SMART TECHNOLOGY Tv LED 32 HD Smart Android 11 + WIFI STT-3298K -HDMI-USB - Régulateur De Tension,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/531221/1.jpg?9165,68 300 FCFA
"West Télévision 32"" Smart -UHD -Android 11.0 Framless - 760mm - 1366*768px - Garantie 6 mois",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/066221/1.jpg?2045,58 900 FCFA
WOW TV Televiseur LED 43 Pouces - Smart Android 11 - Full HD - Noir - Garantie 6 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/504811/1.jpg?5004,99 900 FCFA
SMART TECHNOLOGY Cuisinière à Gaz 5 feux - Four haut & bas - Rôtisseur - Allumage électrique - 80x60Cm -STC-8060C-Garantie 1an,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/82579/1.jpg?0622,129 900 FCFA
Roch Réfrigérateur Bar 76 Litres - 2 Portes - RBF-110DT-K - Gris,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/274811/1.jpg?1355,67 800 FCFA
SMART TECHNOLOGY Réfrigérateur Bar 2 Portes 100 Litres - Gris - STR-135H-Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/06888/1.jpg?2733,79 900 FCFA
"West Télévision UHD 43"" Smart Android 11.0 Framless - 995mm - 1920*1080 pixels - Garantie 6 mois",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/066221/1.jpg?6323,95 803 FCFA
SMART TECHNOLOGY Réfrigérateur Bar 2 Portes 53 Litres - Gris - STR-99H - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/06888/1.jpg?3703,69 900 FCFA
SMART TECHNOLOGY Mixeur Plongeant – STPE-871 – 500 Ml – 300 W - 2 Vitesses,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/831121/1.jpg?7325,9 900 FCFA
SMART TECHNOLOGY Plaque De Cuisson à Gaz - 3 Feux - STC 6780 - Noir - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/731201/1.jpg?2379,10 900 FCFA
Roch Plaque De Cuisson à Gaz Deluxe – 3 Feux – RGC-TT302-C – Gris,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/990911/2.jpg?8483,13 600 FCFA
SMART TECHNOLOGY Home Cinéma STH-288 - DVD - VCD - CD - DVD-9 - MP3 - MPEG - Noir - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/09849/1.jpg?5460,103 900 FCFA
SMART TECHNOLOGY Home Cinéma STHC-1000 - DVD - VCD - CD - DVD-9 - MP3 - MPEG - Noir - Garantie 12 Mois,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/09849/1.jpg?5572,114 200 FCFA
SMART TECHNOLOGY Système Audio avec Haut-parleur multimédia STHB-9917M - Radio FM - Port USB - Port Carte Mémoire,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/72089/1.jpg?4544,38 350 FCFA
SMART TECHNOLOGY Système Audio Avec Haut-parleur Multimédia - STHP-782M - Radio FM - USB - Carte SD - MP3,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/72089/1.jpg?2913,76 650 FCFA
TX3 MINI - TV Box Multimédia - Android 7.1 - 2GB+16GB - Noir,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/0421/1.jpg?2515,28 000 FCFA
